nodes,k,s,eps,initPB,pb,nonedpquery,edpquery,difQuery,execTime
40001,1,1,0.1,10,9,40000,40011,11,2.0827629566192627
40100,100,1,0.1,10,9,40000,40103,103,4.703020334243774
40200,200,1,0.1,10,9,40000,40143,143,6.9554853439331055
40300,300,1,0.1,10,9,40000,40296,296,6.760892152786255
40400,400,1,0.1,10,9,40000,40395,5,10.406050205230713
40500,500,1,0.1,10,9,40000,40495,5,10.499500513076782
40600,600,1,0.1,10,9,40000,40599,1,14.321253538131714
40700,700,1,0.1,10,9,40000,40686,14,11.726452589035034
40800,800,1,0.1,10,9,40000,40797,3,13.141226291656494
40900,900,1,0.1,10,9,40000,40882,18,21.47281503677368
41000,1000,1,0.1,10,9,40000,41011,11,23.49436902999878
nodes,uniform,k,s,eps,initPB,pb,nonedpquery,edpquery,difQuery
1001,0.2,1,1,0.1,10,9,1000,1006,6
1001,0.2,1,2,10,8,1000,1011,11
1001,0.2,1,3,10,7,1000,1016,16
1001,0.2,1,4,10,5,1000,1021,21
1001,0.2,1,5,10,5,1000,1026,26
1001,0.2,1,6,10,6,1000,1031,31
1001,0.2,1,7,10,7,1000,1036,36
1001,0.2,1,8,10,7,1000,1041,41
1001,0.2,1,9,10,7,1000,1046,46
1001,0.2,1,10,10,7,1000,1052,52
